question,option1,option2,option3,option4,answer
"Articulatory phonetics" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,ஒலிபிறப்பியல்,மெய்யொலி,மூக்கொலி,உயிரொலி,1
"மெய்யொலி" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Consonant,Vowel,Phoneme,Epigraph,1
"பொருத்துக:\n\na. Nasal consonant sound - 1. மூக்கொலி\n\nb. Epigraph - 2. கல்வெட்டு\n\nc. Vowel - 3. உயிரொலி\n\nd. Lexicography - 4. அகராதியியல்",a-1 b-2 c-3 d-4,a-2 b-1 c-4 d-3,a-3 b-4 c-1 d-2,a-4 b-3 c-2 d-1,1
"பொருத்துக:\n\na. ஒலியன் - 1. Phoneme\n\nb. சித்திர எழுத்து - 2. Pictograph\n\nc. பழங்குடியினர் - 3. Tribes\n\nd. சமவெளி - 4. Plain",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Valley - பள்ளத்தாக்கு,Thicket - மலைமுகடு,Ridge - வெட்டுக்கிளி,Locust - சிறுத்தை,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Leopard - மொட்டு,Bud - மொட்டு,Disease - நோய்,Herbs - மூலிகை,1
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Millets - சிறுதானியங்கள்\n\n2. Auditor - பட்டயக் கணக்கர்\n\n3. Side Effect - நுண்ணுயிர் முறி\n\n4. Antibiotic - பக்கவிளைவு",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"சரியான மற்றும் தவறான இணைகளைக் கண்டறிக:\n\n1. Gene - மரபணு\n\n2. Allergy - நிறுத்தக்குறி",இரண்டும் சரி,1 சரி 2 தவறு,1 தவறு 2 சரி,இரண்டும் தவறு,2
"கீழ்க்கண்டவற்றுள் எத்தனை இணைகள் சரியாகப் பொருந்தியுள்ளன?\n\n1. Punctuation - நிறுத்தக்குறி\n\n2. Ornament - அணிகலன்\n\n3. Talent - திறமை\n\n4. Translation - மொழிபெயர்ப்பு",1,2,3,4,4
"Awareness" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,விழிப்புணர்வு,சீர்திருத்தம்,கைவினைப் பொருள்கள்,புல்லாங்குழல்,1
"சீர்திருத்தம்" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Reform,Crafts,Flute,Drum,1
"பொருத்துக:\n\na. Crafts - 1. கைவினைப் பொருள்கள்\n\nb. Flute - 2. புல்லாங்குழல்\n\nc. Drum - 3. முரசு\n\nd. Basketry - 4. கூடைமுடைதல்",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-3 b-4 c-1 d-2,a-4 b-1 c-2 d-3,1
"பொருத்துக:\n\na. பின்னுதல் - 1. Knitting\n\nb. கொம்பு - 2. Horn\n\nc. கைவினைஞர் - 3. Artisan\n\nd. சடங்கு - 4. Rite",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Thread - நூல்,Loom - பால்பண்ணை,Dairy farm - தறி,Tanning - தையல்,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Stitch - தையல்,Factory - ஆலை,Dyeing - சாயம் ஏற்றுதல்,Readymade Dress - குதிரையேற்றம்,4
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Equestrian - குதிரையேற்றம்\n\n2. The Hero - கதாநாயகன்\n\n3. Chief Minister - தலைமைப்பண்பு\n\n4. Leadership - முதலமைச்சர்",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"சரியான மற்றும் தவறான இணைகளைக் கண்டறிக:\n\n1. Support - ஆதரவு\n\n2. Tax - வெற்றி",இரண்டும் சரி,1 சரி 2 தவறு,1 தவறு 2 சரி,இரண்டும் தவறு,2
"கீழ்க்கண்டவற்றுள் எத்தனை இணைகள் சரியாகப் பொருந்தியுள்ளன?\n\n1. Victory - வெற்றி\n\n2. Member of Legislative Assembly - சட்ட மன்ற உறுப்பினர்\n\n3. Charity - தொண்டு\n\n4. Saint - ஞானி",1,2,3,4,4
"Philosophy" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,தத்துவம்,நேர்மை,பகுத்தறிவு,குறிக்கோள்,1
"நேர்மை" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Integrity,Rational,Objective,Confidence,1
