question,option1,option2,option3,option4,answer
Media என்ற ஆங்கிலச் சொல்லுக்கு நேரான தமிழ்ச்சொல்லைத் தேர்ந்தெடுக்க.,இதழியல்,ஊடகம்,மொழியியல்,ஒலியியல்,2
Phonology என்பதற்கு இணையான தமிழ்ச்சொல் எது?,மொழியியல்,உரையாடல்,ஒலியியல்,எழுத்திலக்கணம்,3
ஆங்கிலச் சொல்லுக்கு நேரான தமிழ்ச்சொல் ? \n\n பொருத்துக \n\n (a) Journalism – 1. பருவ இதழ் \n\n (b) Magazine – 2. இதழியல் \n\n (c) Puppetry – 3. எழுத்திலக்கணம் \n\n (d) Orthography – 4. பொம்மலாட்டம்,2 1 4 3,1 2 3 4,2 1 3 4,4 3 2 1,1
Dialogue என்ற சொல்லுக்கு இணையான தமிழ்ச்சொல்?,கதைப்பாடல்,உரையாடல்,முழக்கம்,பேச்சாற்றல்,2
தீவு என்பதற்கு இணையான ஆங்கிலச்சொல் எது?,Island,Ocean,Forest,Harbour,1
கலைச்சொற்களை அறிதல். \n\n தவறான இணையைத் தேர்ந்தெடு. \n\n (A) Natural Resource - இயற்கை வளம் \n\n (B) Wild Animals – வன விலங்குகள் \n\n (C) Forest Conservator – வனவியல் \n\n (D) Jungle – காடு,A,B,C,D,3
Forestry என்பதன் தமிழாக்கம் என்ன?,வனப் பாதுகாவலர்,பல்லுயிர் மண்டலம்,வனவியல்,வேளாண்மை,3
Bio Diversity என்ற ஆங்கிலச் சொல்லுக்கு நேரான தமிழ்ச்சொல்?,பல்லுயிர் மண்டலம்,இயற்கை வளம்,வன விலங்குகள்,உயிரியல் பூங்கா,1
தமிழ்ச்சொல்லுக்கு நேரான ஆங்கிலச்சொல் ? \n\n பொருத்துக \n\n (a) உவமை – 1. Ballad \n\n (b) கதைப்பாடல் - 2. Parable \n\n (c) துணிவு – 3. Sacrifice \n\n (d) தியாகம் – 4. Courage,2 1 4 3,1 2 3 4,2 1 3 4,4 3 2 1,1
Political Genius என்பதன் தமிழாக்கம்?,அரசியல் மேதை,அரசியல் தலைவர்,பேச்சாற்றல்,நாட்டுப்பற்று,1
Elocution என்ற ஆங்கிலச் சொல்லுக்குரிய தமிழ்ச்சொல்?,ஒற்றுமை,முழக்கம்,பேச்சாற்றல்,உரையாடல்,3
கலைச்சொற்களை அறிதல். \n\n சரியான இணையைத் தேர்ந்தெடு. \n\n (A) Unity - சமத்துவம் \n\n (B) Slogan – முழக்கம் \n\n (C) Equality – ஒற்றுமை \n\n (D) Light house – துறைமுகம்,A,B,C,D,2
ஆங்கிலச் சொல்லுக்கு நேரான தமிழ்ச்சொல் ? \n\n பொருத்துக \n\n (a) Ocean – 1. கப்பல் தொழில்நுட்பம் \n\n (b) Marine technology – 2. பெருங்கடல் \n\n (c) Marine creature – 3. நீர்மூழ்கிக்கப்பல் \n\n (d) Submarine – 4. கடல்வாழ் உயிரினம்,2 1 4 3,1 2 3 4,2 1 3 4,4 3 2 1,1
Harbour என்ற சொல்லுக்கு இணையான தமிழ்ச்சொல்?,கலங்கரை விளக்கம்,துறைமுகம்,கப்பல்தளம்,நங்கூரம்,2
Storm என்பதற்கு இணையான தமிழ்ச்சொல்?,புயல்,தென்றல்,சூறாவளி,சுழல்காற்று,1
Sailor என்பதன் தமிழாக்கம்?,மாலுமி,பயணி,கப்பல் ஓட்டி,மீனவர்,1
கலைச்சொற்களை அறிதல். \n\n தவறான இணையைத் தேர்ந்தெடு. \n\n (A) Anchor - நங்கூரம் \n\n (B) Shipyard – கப்பல்தளம் \n\n (C) Summer Vacation – கோடை விடுமுறை \n\n (D) Child Labour – இளைஞர் நலன்,A,B,C,D,4
Degree என்ற ஆங்கிலச் சொல்லுக்கு நேரான தமிழ்ச்சொல்?,பட்டம்,கல்வியறிவு,வகுப்பு,தரவரிசை,1
Literacy என்பதன் தமிழாக்கம்?,எழுத்தறிவு,கல்வியறிவு,படிப்பறிவு,அறிவியல்,2
Moral என்ற சொல்லுக்கு இணையான தமிழ்ச்சொல்?,நீதி,ஒழுக்கம்,நேர்மை,வாய்மை,1
ஆங்கிலச் சொல்லுக்கு நேரான தமிழ்ச்சொல் ? \n\n பொருத்துக \n\n (a) Uniform – 1. ஒழுக்கம் \n\n (b) Guidance – 2. சீருடை \n\n (c) Discipline – 3. படைப்பாளர் \n\n (d) Creator – 4. வழிகாட்டுதல்,2 4 1 3,1 2 3 4,2 1 4 3,4 3 2 1,1
Sculpture என்ற ஆங்கிலச் சொல்லுக்குரிய தமிழ்ச்சொல்?,ஓவியம்,சிற்பம்,கலைஞர்,கல்வெட்டு,2
Artist என்பதன் தமிழாக்கம்?,கலைஞர்,படைப்பாளர்,சிற்பி,எழுத்தாளர்,1
கலைச்சொற்களை அறிதல். \n\n சரியான இணையைத் தேர்ந்தெடு. \n\n (A) Inscriptions - கையெழுத்துப்படி \n\n (B) Manuscripts – கல்வெட்டு \n\n (C) Aesthetics – அழகியல் \n\n (D) Brush – கருத்துப்படம்,A,B,C,D,3
Cartoon என்பதற்கு இணையான தமிழ்ச்சொல்?,ஓவியம்,நவீன ஓவியம்,கருத்துப்படம்,குகை ஓவியங்கள்,3
Cave paintings என்ற சொல்லின் தமிழாக்கம்?,குகை ஓவியங்கள்,நவீன ஓவியம்,சுவர் ஓவியங்கள்,வண்ண ஓவியங்கள்,1
Modern Art என்பதன் தமிழாக்கம்?,பழமை ஓவியம்,நவீன ஓவியம்,கலை ஓவியம்,இயற்கை ஓவியம்,2
Civilization என்ற ஆங்கிலச் சொல்லுக்குரிய தமிழ்ச்சொல்?,நாகரிகம்,பண்பாடு,கலாச்சாரம்,சமூகம்,1
Folklore என்பதன் தமிழாக்கம்?,நாட்டுப்புறவியல்,கதைப்பாடல்,பழமொழிகள்,விடுகதைகள்,1
