question,option1,option2,option3,option4,answer
"Bend the tree while it is young" என்ற பழமொழிக்கு இணையான தமிழ் பழமொழி என்ன?,ஐந்தில் வளையாதது ஐம்பதில் வளையுமா?,தாயைப்போலப் பிள்ளை நூலைப்போலச் சேலை,விளையும் பயிர் முளையிலேயே தெரியும்,அழுத பிள்ளை பால் குடிக்கும்,1
"As is the mother, so is her daughter" என்ற பழமொழிக்கு இணையான தமிழ் பழமொழி என்ன?,தாயைப்போலப் பிள்ளை; நூலைப்போலச் சேலை,ஐந்தில் வளையாதது ஐம்பதில் வளையுமா?,அழுத பிள்ளை பால் குடிக்கும்,முதற்கோணல் முற்றிலும் கோணல்,1
"A friend in need is a friend indeed" என்ற பழமொழிக்கு இணையான தமிழ் பழமொழி என்ன?,உயிர் காப்பான் தோழன்,வல்லவனுக்குப் புல்லும் ஆயுதம்,தான் ஆடாவிட்டாலும் தன் தசை ஆடும்,காற்றுள்ளபோதே தூற்றிக்கொள்,1
"A man of courage never wants weapons" என்ற பழமொழிக்கு இணையான தமிழ் பழமொழி என்ன?,வல்லவனுக்குப் புல்லும் ஆயுதம்,உயிர் காப்பான் தோழன்,ஆனைக்கும் அடி சறுக்கும்,கல்லிலே நார் உரிக்க முடியுமா?,1
"Blood is thicker than water" என்ற பழமொழிக்கு இணையான தமிழ் பழமொழி என்ன?,தான் ஆடாவிட்டாலும் தன் தசை ஆடும்,தாயைப்போலப் பிள்ளை; நூலைப்போலச் சேலை,அழுத பிள்ளை பால் குடிக்கும்,விளையும் பயிர் முளையிலேயே தெரியும்,1
"Crying child will get milk" என்ற பழமொழிக்கு இணையான தமிழ் பழமொழி என்ன?,அழுத பிள்ளை பால் குடிக்கும்,தான் ஆடாவிட்டாலும் தன் தசை ஆடும்,வெண்ணெயை வைத்துக்கொண்டு நெய்க்கு அலைவானேன்,தருமம் தலை காக்கும்,1
"Make hay while the sun shines" என்ற பழமொழிக்கு இணையான தமிழ் பழமொழி என்ன?,காற்றுள்ளபோதே தூற்றிக்கொள்,முதற்கோணல் முற்றிலும் கோணல்,ஆனைக்கும் அடி சறுக்கும்,கம்பன் வீட்டுக் கட்டுத்தறியும் கவி பாடும்,1
"The childhood shows the man" என்ற பழமொழிக்கு இணையான தமிழ் பழமொழி என்ன?,விளையும் பயிர் முளையிலேயே தெரியும்,ஐந்தில் வளையாதது ஐம்பதில் வளையுமா?,தாயைப்போலப் பிள்ளை; நூலைப்போலச் சேலை,அழுத பிள்ளை பால் குடிக்கும்,1
"All is well that ends well" என்ற பழமொழிக்கு இணையான தமிழ் பழமொழி என்ன?,முதற்கோணல் முற்றிலும் கோணல்,ஆனைக்கும் அடி சறுக்கும்,கல்லிலே நார் உரிக்க முடியுமா?,கரைப்பார் கரைத்தால் கல்லும் கரையும்,1
"A Good marksman may miss" என்ற பழமொழிக்கு இணையான தமிழ் பழமொழி என்ன?,ஆனைக்கும் அடி சறுக்கும்,வல்லவனுக்குப் புல்லும் ஆயுதம்,வெண்ணெயை வைத்துக்கொண்டு நெய்க்கு அலைவானேன்,தருமம் தலை காக்கும்,1
"In a fiddler's house all are dancers" என்ற பழமொழிக்கு இணையான தமிழ் பழமொழி என்ன?,கம்பன் வீட்டுக் கட்டுத்தறியும் கவி பாடும்,எரிவதனைப் பிடுங்கினால் கொதிப்பது அடங்கும்,சித்திரமும் கைப்பழக்கம் செந்தமிழும் நாப்பழக்கம்,வேலியே பயிரை மேய்ந்தாற்போல,1
"கல்லிலே நார் உரிக்க முடியுமா?" என்ற பழமொழிக்கு இணையான ஆங்கிலப் பழமொழி என்ன?,No man can flay a stone,Difficulties give way to diligence,Command your man and do it yourself,Charity is a double blessing,1
"கரைப்பார் கரைத்தால் கல்லும் கரையும்" என்ற பழமொழிக்கு இணையான ஆங்கிலப் பழமொழி என்ன?,Difficulties give way to diligence,No man can flay a stone,Take away the fuel the boiling will cease,Practice makes perfect,1
